,Jin-8,Jin-5,Lu-1,Zheng,Jin-3,Jin-9,Zhou-1,Chu-1,Jin-4,Yue-1,Jin-2,Zhou-2,Jin-7,Chu-2,Jin-1,Wu,Yue-2,Zhou-3,Qi,Jin-6,Lu-2,Min,Xuan,Ai,Xi,Xiang,Ding,Zhao,Wen,Cheng,Huan,Yin,Zhuang
Chu-2,0.9157569573023654,0.8858669967098347,0.9148990873461075,0.805439062159222,0.8522001916296439,0.8763107700182611,0.9041123962773331,0.9111405905127703,0.9163675854974204,0.8378296590192554,0.8867268842228863,0.9062956358247714,0.865674818364577,1.0000000000000002,0.9019058624180455,0.8999852659336443,0.8404241646739943,0.9098021463064682,0.8869072519529924,0.8770553691688007,0.906498762083696,0.859016474510272,0.8969452355669174,0.8953714121547018,0.9211849794469039,0.9235668839345826,0.8951877485177857,0.9308613011679511,0.9072898033498868,0.9174662403889555,0.8703377807431935,0.888693555440436,0.8640806179881112
Jin-1,0.9265378986594344,0.8917423769282425,0.9115984172850944,0.7883373380011921,0.9155261227981568,0.9010187552252504,0.8700406476126301,0.890675977865653,0.9339442466925376,0.8390841129100206,0.9367847976390913,0.9182245108246134,0.8622473785493865,0.9019058624180455,0.9999999999999998,0.8727699536027662,0.8256871246613926,0.9100433068928775,0.8401594846508389,0.9052618673859575,0.9242341178201832,0.9099527060749177,0.9128375732732434,0.9141277036771528,0.9236292445435442,0.9283474555196354,0.9075656852355962,0.9315131459368496,0.9115579947305668,0.9278983472205709,0.8759129037972861,0.8758393239174294,0.8704728606634884
Wu,0.8829455881688686,0.8316416612581501,0.8750392519187447,0.732610895539042,0.8544532521686522,0.868957263744417,0.885956647644347,0.8932992000908164,0.8775563907021002,0.8090921066002789,0.8998521682455399,0.8943888326310863,0.8479361930464239,0.8999852659336443,0.8727699536027662,0.9999999999999997,0.8942165796005361,0.8555692988684105,0.8740038024296888,0.8755390046344229,0.8708747163537032,0.8508372284107044,0.8907402220854832,0.911375428642724,0.9073398759435237,0.9111744377657162,0.913284229096613,0.9172084500154978,0.9059819159432836,0.9208132927905344,0.8705708836229904,0.8800801461209995,0.8810523474966285
Yue-2,0.8664547856227833,0.8334163779749473,0.8191851873357593,0.6920735351123104,0.8671098822109914,0.8666349409795926,0.8538507499234914,0.8300866642293658,0.8379548567612575,0.7681586441046964,0.8744890484366452,0.8395615606474258,0.7903216757359672,0.8404241646739943,0.8256871246613926,0.8942165796005361,1.0000000000000002,0.7634017263325863,0.8310777875210265,0.8341513532536107,0.8310362481869762,0.8246653494490306,0.8530281733492309,0.8847649497466361,0.8801076914426289,0.8750587921069273,0.8939248075907932,0.8729657326295952,0.858273212041747,0.8757680114051362,0.8157289722769658,0.8325353487456513,0.8470185732162607
Zhou-3,0.8783850077841586,0.8357233632364166,0.9104369035511095,0.8260723412439515,0.8194826631941041,0.8146870122843999,0.8888083413537622,0.8960349859125507,0.9220490233340612,0.8143259602387846,0.8483187559385548,0.9178960096030063,0.8721305484236846,0.9098021463064682,0.9100433068928775,0.8555692988684105,0.7634017263325863,0.9999999999999999,0.8403407765401707,0.8890497477447166,0.9011934991237318,0.8596977416401327,0.8715219471790716,0.8621998008874969,0.8853625047119418,0.8985579750805957,0.8620618112339669,0.9115857165106467,0.9049300792333396,0.8979656428587445,0.8787816203980346,0.881317294045179,0.845801492491876
Qi,0.8883001190090912,0.8379904050070264,0.8499637482739391,0.7702773242742207,0.8119604672053066,0.8453378058514192,0.8795467307559272,0.8555458878658608,0.8682336543661597,0.7928299735188129,0.8561675290018337,0.8538240795099734,0.8509222788284037,0.8869072519529924,0.8401594846508389,0.8740038024296888,0.8310777875210265,0.8403407765401707,1.0,0.8257329366509092,0.8728065043735953,0.8225006379694799,0.8839866528089917,0.8826826232095776,0.8939900445898743,0.8988869016619023,0.8865180445184093,0.9104071482041183,0.8938832721248984,0.896310187140622,0.8700003767444837,0.8789868905095324,0.8701239958218738
Jin-6,0.9061437299774757,0.8671958759665666,0.8929822077598477,0.7637238585041508,0.8816835479070491,0.8836175996133526,0.8702121912584708,0.8979497785204269,0.8975658036782438,0.8076166052840968,0.8926834990764393,0.8777954064839888,0.858008497251797,0.8770553691688007,0.9052618673859575,0.8755390046344229,0.8341513532536107,0.8890497477447166,0.8257329366509092,1.0000000000000002,0.8891932954616798,0.8856780160978327,0.903042939886132,0.9019162132644108,0.9053880299102519,0.9047276585328179,0.9014419818100899,0.9151994138034576,0.8968996506908519,0.9091272560395556,0.8683651207207495,0.8691073379721359,0.8755005462792992
Lu-2,0.9204515090827077,0.9096993217439373,0.9403816535797538,0.7952179425428736,0.893561645212988,0.9020158646370784,0.8742836719113227,0.8891269280908893,0.9356875676347715,0.8654702286695516,0.9138589351815496,0.9077365494074248,0.9034602890291688,0.906498762083696,0.9242341178201832,0.8708747163537032,0.8310362481869762,0.9011934991237318,0.8728065043735953,0.8891932954616798,1.0000000000000004,0.8968624171133992,0.9306979256537651,0.9200648873136674,0.9363102451871009,0.9445921510333679,0.9229634888475493,0.9503856318123196,0.9232734938460877,0.9356915384781339,0.8894538853408576,0.9054417403594467,0.8967181552300532
Min,0.8951248481860434,0.8474318827481018,0.8925239747635525,0.7801116935816842,0.8977378861919378,0.8870858698869978,0.8502255605957817,0.8760797513305036,0.9235752059580642,0.8171763186691772,0.9001028019052199,0.8766574040777035,0.8340233628777476,0.859016474510272,0.9099527060749177,0.8508372284107044,0.8246653494490306,0.8596977416401327,0.8225006379694799,0.8856780160978327,0.8968624171133992,0.9999999999999999,0.9189628458013269,0.929567921246689,0.9270810523153202,0.9328473673637245,0.9174873860070274,0.9225325629192827,0.9238035972750815,0.9268143046620956,0.8959406702945121,0.8910609680351697,0.9009808422444923
Xuan,0.9185753770211669,0.8988283408293013,0.9111036219499928,0.7819363669119731,0.9058889248852462,0.9298074401775968,0.8950395093040459,0.8919151280645898,0.934596937876276,0.818530544092217,0.9335272098230287,0.9012470868522735,0.8987696180013851,0.8969452355669174,0.9128375732732434,0.8907402220854832,0.8530281733492309,0.8715219471790716,0.8839866528089917,0.903042939886132,0.9306979256537651,0.9189628458013269,1.0,0.97050212729455,0.9701274242732142,0.9691280832275431,0.9613101824780932,0.968694764961642,0.9628676607854119,0.9721951952227328,0.9275824015926539,0.9424070579351267,0.9448276102649369
