,Ai,Cheng,Ding,Huan,Min,Wen,Xi,Xiang,Xuan,Yin,Zhao,Zhuang,Chu-1,Chu-2,Jin-1,Jin-2,Jin-3,Jin-4,Jin-5,Jin-6,Jin-7,Jin-8,Jin-9,Lu-1,Lu-2,Qi,Wu,Yue-1,Yue-2,Zheng,Zhou-1,Zhou-2,Zhou-3
Jin-7,0.328743662,0.4070964896432316,0.5198643770715872,0.4771269714057415,0.36208966866509934,0.31999371689626677,0.35285783423825584,0.3734332954630512,0.3899399417085509,0.2754310849544774,0.4057445369330468,0.2944468767872487,0.5867655453427113,0.5854470236699886,0.5295290204269482,0.592441493,0.6290573032261108,0.46091933169892135,0.4780159735197529,0.5839874377017432,0,0.1880848314540185,0.1521707612005674,0.20670253352406995,0.18675448825708366,0.1450056451987662,0.17126599089035147,0.5202371050434969,0.25262083293768134,0.29610958407444715,0.17010645172785424,0.14788060551466425,0.12381199810664108
Jin-8,0.12268736588230297,0.15458803999365844,0.164901395,0.22582126557299595,0.19921098518907818,0.14144689626430929,0.11149216655679596,0.10956358636278969,0.13215977621425432,0.093007155,0.13995191818888703,0.13467966869747336,0.15669388885387586,0.13555497016518844,0.20343045200593024,0.15765391211057567,0.23356494535460065,0.078256558,0.25596192435360826,0.19779386514222946,0.1880848314540185,0,0.17280701214383273,0.18550957415781738,0.21721393047710466,0.2594864848883128,0.2059374243269655,0.4292574069250848,0.2512001910612235,0.43656040588023864,0.20272188058189572,0.19264043750291826,0.15418936781900375
Jin-9,0.1457435032081581,0.17694474758128484,0.21882189995298013,0.23448525419274996,0.2236676960257479,0.17734422735476518,0.1345581961034596,0.13209495629171883,0.14859021775024386,0.14382896210047777,0.14683757895037144,0.16628188402877891,0.18867301030892109,0.31563607580991127,0.17035781443740844,0.16040089785198344,0.31587316802506793,0.11583717121164756,0.16290851888927255,0.19442948697819246,0.1521707612005674,0.17280701214383273,0,0.2551467209202285,0.2458246088443069,0.3439910323719127,0.24816088579781986,0.4912035178570865,0.34162840371468894,0.6929241076631133,0.3241575365911623,0.27760760411663654,0.18712710051298823
Lu-1,0.1335866194733849,0.12175355583698606,0.15158390951766162,0.24813561875919793,0.11474130728499098,0.14694121347304132,0.093415605,0.10542921968927232,0.1263894320764629,0.066347715,0.1322740667796369,0.085933975,0.1612573192350779,0.2707844868597966,0.3115107453576244,0.12863461345878172,0.25959180648448693,0.089151013,0.24638893401600362,0.15167112456065426,0.20670253352406995,0.18550957415781738,0.2551467209202285,0,0.15319349508356994,0.19822156878943709,0.1910335653814097,0.4539876540281028,0.24165591139619463,0.3966011629191937,0.2257617145688623,0.1624130350259628,0.13282284413477113
Lu-2,0.11248164074240585,0.13682647961056932,0.177572723,0.2361636665726721,0.1521848217969878,0.12796910777638312,0.10781953341824756,0.096224104,0.13002933851834733,0.1292440162053483,0.11297311794832361,0.12169501892938463,0.18527276056764214,0.2202519135847862,0.2807785098436801,0.21309781600924874,0.28245877583715034,0.12512994066336894,0.17343215026960387,0.1483472257427951,0.18675448825708366,0.21721393047710466,0.2458246088443069,0.15319349508356994,0,0.2320315881489525,0.17524951102970304,0.40182059819182103,0.24007345512736308,0.42316052295417417,0.11622115997584882,0.1475867902200137,0.059886166911097535
Qi,0.1715422441814239,0.20291480363711445,0.26947313567160724,0.2722726629306566,0.2109173496374556,0.1505639010392886,0.18171770285260577,0.18989069912756973,0.17500164641544325,0.13675274119119188,0.19312932122332788,0.1536767863457466,0.2640477129048824,0.22410853950261145,0.34252838436450533,0.2680535125015686,0.3280377210859707,0.2381558229678531,0.26328648910311264,0.26137391874997973,0.1450056451987662,0.2594864848883128,0.3439910323719127,0.19822156878943709,0.2320315881489525,0,0.20836614974349016,0.5459473517818152,0.2510452457512905,0.4452522150230684,0.23369918100754727,0.18517699176034727,0.1567827619083967
Wu,0.1214207343783272,0.1356974675292519,0.14462371853801287,0.2245514888947213,0.15494010211740925,0.15170895787885683,0.14952652384947265,0.12055972560239703,0.11986773208633854,0.085764407,0.13807686641180972,0.099837697,0.1736386896070365,0.25231013217797954,0.29325253946988333,0.2468348453991711,0.23972929199867155,0.13222159904381514,0.21497107634517112,0.21374666440023762,0.17126599089035147,0.2059374243269655,0.24816088579781986,0.1910335653814097,0.17524951102970304,0.20836614974349016,0,0.36232849706522785,0.2585482480193438,0.607248343,0.24206263917361276,0.23028873252660012,0.18960352767399136
Yue-1,0.31861959962501607,0.36524909381189274,0.3587613828499976,0.46807704122580135,0.42633019649849396,0.4024576834847126,0.35212129090746985,0.3257290770818687,0.31195733520292146,0.2686663398788834,0.36073910838348966,0.30104729438060296,0.3970873588505946,0.4358845702322422,0.526564918,0.46078882519372766,0.49521899931956104,0.34969631399942713,0.43980347626282573,0.4859963737098141,0.5202371050434969,0.4292574069250848,0.4912035178570865,0.4539876540281028,0.40182059819182103,0.5459473517818152,0.36232849706522785,0,0.16533721898781328,0.5571064691525048,0.2624350405600017,0.1839864875121711,0.18544936449831892
Yue-2,0.15786756432228324,0.19415749643804703,0.23470596394264195,0.3026961202662132,0.25191827323214966,0.19483286448069095,0.17027421040585256,0.166491931,0.1772972368613017,0.1360573207468406,0.1744995507599508,0.17941875643570104,0.20772672211107363,0.3149332533331014,0.3020433632152268,0.31096087553481805,0.34501291040136345,0.2142088839643637,0.30367786060103563,0.2747945033746709,0.25262083293768134,0.2512001910612235,0.34162840371468894,0.24165591139619463,0.24007345512736308,0.2510452457512905,0.2585482480193438,0.16533721898781328,0,0.6352116220199554,0.27523409881282596,0.24403547128267047,0.22023821675487198
Zheng,0.3739999072593365,0.42080134098264593,0.48080309903691343,0.42018608121687995,0.437743678,0.3631872317045786,0.36202638076063115,0.3713543495326706,0.3717806100756311,0.27709950125164295,0.38881520138130465,0.28013427355430986,0.3965737671300457,0.5343245997755081,0.6019125082046919,0.6766939323022629,0.6370999361937517,0.3906669255424765,0.5306407173151606,0.5668021453762048,0.29610958407444715,0.43656040588023864,0.6929241076631133,0.3966011629191937,0.42316052295417417,0.4452522150230684,0.607248343,0.5571064691525048,0.6352116220199554,0,0.18445742797976405,0.13758186474411832,0.098536271
